date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,OT
2025-10-30 01:00:00,23844.54,0.0,0.0,5745.0806,6115.6885,26359.123,56792.734,36995.227,1980.1829,0.7783203,20157.928,20447.371,42649.227,16099.383,13763.473,8717.773,468.4583,7151.7954,589.6816,732.8241,765.9708,772.3991,851.10034,4814.6304,18076.2,1474.2473,4842.9883,17885.408,42938.797,1873.5524,6451.008,10513.215,27629.879,3994.127,3998.12,373.27518
2025-10-30 02:00:00,24218.713,0.0,0.0,5640.367,6047.6494,26241.236,56800.65,36196.562,1912.9901,53.481445,20081.82,19877.79,42526.414,16631.424,12838.734,9266.281,459.8578,7050.9917,555.33057,707.85205,728.3819,743.3397,820.47485,4869.1216,18043.91,1420.1664,4798.8975,17939.512,42692.0,1906.4515,6447.375,10677.885,27280.77,4018.4707,4011.5864,379.004
2025-10-30 03:00:00,24824.896,0.0,0.0,5442.2305,5845.286,26130.94,57012.234,35025.977,1912.666,-72.646484,19851.117,18679.275,42421.66,17119.664,12101.5625,9627.054,467.01358,6980.7266,572.3882,723.87384,734.7539,736.76013,812.1862,4933.138,17988.668,1328.7771,4887.473,17977.67,42442.254,1895.0459,6439.3257,10477.228,27059.305,4024.06,4009.3481,387.78287
2025-10-30 04:00:00,25307.904,166.59521,24.828003,5194.3037,5601.778,26086.738,57056.35,35020.656,2019.3105,170.27002,19503.703,17893.637,42352.164,17354.004,11855.768,9660.28,450.6372,6987.2085,583.5049,736.1669,751.0659,754.1947,840.63306,4884.4473,18036.652,1225.084,4958.6807,18084.193,42308.43,1882.5376,6443.668,10243.0205,27327.79,4005.082,4009.9346,415.83163
2025-10-30 05:00:00,25631.404,76.78174,0.0,4924.831,5305.5605,26208.066,57522.32,35262.133,1957.62,74.51514,19047.855,16662.098,42381.035,18109.2,11273.723,9999.471,440.18765,7053.4365,557.47314,708.4556,752.4457,727.6223,809.57477,4779.1763,18085.438,1089.388,5092.2827,18023.227,42385.44,1879.5352,6493.4717,9951.634,27722.625,4014.5996,4008.9536,457.24243
2025-10-30 06:00:00,25575.078,0.0,5.873291,4714.187,5050.205,26259.803,57646.47,35772.297,1924.4885,351.87793,18561.686,15697.555,42752.586,18796.623,10898.619,10034.853,472.30255,7116.764,543.5661,698.86725,760.3552,725.1991,801.1958,4816.873,17991.098,1039.0757,5479.1733,17642.809,42811.656,1898.5023,6501.626,9874.389,28353.703,4005.9575,4005.0654,493.85748
2025-10-30 07:00:00,25199.484,332.7788,160.89996,4500.4062,4833.1953,26136.357,57780.703,35604.477,1930.7489,1313.7065,17941.1,15463.65,43211.36,19569.27,10423.798,10219.092,528.99896,7190.6396,534.3229,692.05634,780.94116,727.4279,791.9577,4842.741,17869.027,1006.1355,5413.295,17717.5,43544.344,1918.2795,6557.6567,10147.398,28775.58,4000.0967,4004.0632,512.36426
2025-10-30 08:00:00,23597.41,2364.4282,817.0252,4264.3926,4652.991,26162.627,57911.35,34600.094,2114.0981,5113.5166,17320.547,17800.363,43182.246,17791.117,10793.614,9365.721,504.2476,7278.639,475.8408,623.7386,709.4012,651.65466,708.6822,5555.4463,17131.43,919.33484,6341.133,17038.814,43555.83,2228.872,6625.5356,12793.2,26958.168,3996.6292,4005.417,481.22382
2025-10-30 09:00:00,21109.271,5605.9995,1951.7357,3971.669,4483.075,26042.184,57886.562,34897.92,3017.1426,10735.418,16626.672,21492.717,43516.43,13178.938,12304.091,7468.7715,381.4717,7367.006,407.96454,561.7029,638.89557,606.98865,681.10846,7485.0225,15206.704,749.666,8605.914,15072.501,44045.86,3202.9822,6759.9434,17964.225,22620.877,4009.0273,4007.1296,466.84473
2025-10-30 10:00:00,18518.123,8062.16,2985.3936,3738.077,4347.278,25828.6,58340.965,35906.086,3461.5476,14782.107,16121.584,24312.29,43508.47,8422.524,14240.891,5177.4727,286.2729,7454.6943,410.164,561.23413,656.43665,633.79694,718.45264,10085.613,12631.41,612.43567,11522.896,12448.129,44119.855,3517.2598,6914.549,23177.195,17546.691,4019.708,4012.3486,461.76462
